benchmark,rows,cols,repeat,ipc_size_mb,serialize_ms,deserialize_ms,serialize_mb_s,deserialize_mb_s,restored_rows
arrow_recordbatch_serialization,1000,4,0,0.03104400634765625,2.8934170259162784,1.335625012870878,10.729184928959672,23.24305553467307,1000
arrow_recordbatch_serialization,1000,4,1,0.03104400634765625,0.038707978092134,0.19500000053085387,802.0053714447262,159.2000321186887,1000
arrow_recordbatch_serialization,1000,4,2,0.03104400634765625,0.03083300543949008,0.022958003683015704,1006.8433454721195,1352.2084400841245,1000
arrow_recordbatch_serialization,1000,16,0,0.12364959716796875,0.07883398211561143,0.035500008380040526,1568.4809247189166,3483.086421959532,1000
arrow_recordbatch_serialization,1000,16,1,0.12364959716796875,0.04325000918470323,0.02479198155924678,2858.949616401502,4987.483427755721,1000
arrow_recordbatch_serialization,1000,16,2,0.12364959716796875,0.02549999044276774,0.021540996385738254,4849.005627883991,5740.198594055473,1000
arrow_recordbatch_serialization,10000,4,0,0.30570220947265625,0.09854199015535414,0.017707992810755968,3102.253252554656,17263.515562699486,10000
arrow_recordbatch_serialization,10000,4,1,0.30570220947265625,0.0719579984433949,0.014416989870369434,4248.34231198265,21204.30216164275,10000
arrow_recordbatch_serialization,10000,4,2,0.30570220947265625,0.03420800203457475,0.012792006600648165,8936.570138287427,23897.908984597183,10000
arrow_recordbatch_serialization,10000,16,0,1.2222824096679688,0.36929198540747166,0.025124987587332726,3309.7994485835356,48648.08014011547,10000
arrow_recordbatch_serialization,10000,16,1,1.2222824096679688,0.29075000202283263,0.020291015971451998,4203.894758948214,60237.61507987734,10000
arrow_recordbatch_serialization,10000,16,2,1.2222824096679688,0.5686249933205545,0.04433398135006428,2149.540424753936,27569.87693067175,10000
arrow_recordbatch_serialization,100000,4,0,3.0522842407226562,0.6484579935204238,0.0262079993262887,4706.98838046866,116463.8400177679,100000
arrow_recordbatch_serialization,100000,4,1,3.0522842407226562,0.48483299906365573,0.016416015569120646,6295.537322371717,185933.31785480012,100000
arrow_recordbatch_serialization,100000,4,2,3.0522842407226562,0.417709001339972,0.02400000812485814,7307.202456569548,127178.46697565223,100000
arrow_recordbatch_serialization,100000,16,0,12.208610534667969,4.782375006470829,0.07149999146349728,2552.8342127392802,170749.8180737658,100000
arrow_recordbatch_serialization,100000,16,1,12.208610534667969,4.994040995370597,0.19129199790768325,2444.635625936025,63821.856994560716,100000
arrow_recordbatch_serialization,100000,16,2,12.208610534667969,5.183625005884096,0.04720801371149719,2355.2264141039504,258613.09499862828,100000
