benchmark,object_type,size_kb,repeat,put_ms,get_ms,roundtrip_ms,roundtrip_mb_s
ray_object_transfer,bytes,1,0,180.48829198232852,0.12454201350919902,99.50924999429844,0.009813786156120701
ray_object_transfer,bytes,1,1,0.5010410095565021,0.0938749872148037,2.075625001452863,0.47049081568994455
ray_object_transfer,bytes,1,2,0.19299998530186713,0.030417024390771985,1.5465830219909549,0.6314323163478458
ray_object_transfer,bytes,10,0,0.20500001846812665,0.0431249791290611,1.2903750175610185,7.568051819895226
ray_object_transfer,bytes,10,1,0.2890409959945828,0.04629101022146642,1.5697089838795364,6.221296495267711
ray_object_transfer,bytes,10,2,0.3007090126629919,0.03983298665843904,1.459124992834404,6.692795372540301
ray_object_transfer,bytes,100,0,0.2053749922197312,0.027458008844405413,2.185082994401455,44.69223834985285
ray_object_transfer,bytes,100,1,0.3262090031057596,0.035250006476417184,1.8379999964963645,53.131800971792416
ray_object_transfer,bytes,100,2,0.31958401086740196,0.02487501478753984,2.1727500134147704,44.94592079027076
ray_object_transfer,bytes,1024,0,0.4865420050919056,0.22929097758606076,2.534874976845458,394.49677366118334
ray_object_transfer,bytes,1024,1,0.5249170062597841,0.22149999858811498,2.567583986092359,389.47119370451975
ray_object_transfer,bytes,1024,2,0.9222920052707195,0.17750001279637218,2.4267910048365593,412.06679850346177
ray_object_transfer,bytes,10240,0,5.317250004736707,1.1801249929703772,12.984041997697204,770.1761902629057
ray_object_transfer,bytes,10240,1,8.760041993809864,1.0861250048037618,15.110042004380375,661.8115288561751
ray_object_transfer,bytes,10240,2,5.434708000393584,0.7215420191641897,12.009875004878268,832.6481329687545
ray_object_transfer,numpy,1,0,0.6757090159226209,0.2642920007929206,2.1994590060785413,0.4440012281661628
ray_object_transfer,numpy,1,1,0.2805410185828805,0.07041700882837176,1.8327920115552843,0.5328277806990774
ray_object_transfer,numpy,1,2,0.23829098790884018,0.07679199916310608,2.3222920135594904,0.4205166681442335
ray_object_transfer,numpy,10,0,0.5955829983577132,0.09108299855142832,1.9754589884541929,4.943471394281717
ray_object_transfer,numpy,10,1,0.33991699456237257,0.10962499072775245,1.5647079853806645,6.241180521376457
ray_object_transfer,numpy,10,2,0.26366699603386223,0.048583984607830644,1.4450839953497052,6.757825172395431
ray_object_transfer,numpy,100,0,0.6155000010039657,0.055832992075011134,2.202874980866909,44.331272018700226
ray_object_transfer,numpy,100,1,0.29712499235756695,0.07545799599029124,1.853875000961125,52.67682554075706
ray_object_transfer,numpy,100,2,0.39562498568557203,0.04370801616460085,1.7382910009473562,56.1794601403206
ray_object_transfer,numpy,1024,0,0.40208399877883494,0.05645799683406949,2.3280000023078173,429.55326417898175
ray_object_transfer,numpy,1024,1,0.5021669785492122,0.0543750065844506,2.1657919860444963,461.7248592863964
ray_object_transfer,numpy,1024,2,0.4866250092163682,0.058250006986781955,2.0015829941257834,499.6045644546269
ray_object_transfer,numpy,10240,0,6.176416005473584,0.10041601490229368,8.198166004149243,1219.785009834982
ray_object_transfer,numpy,10240,1,5.191374977584928,0.10945802205242217,8.107417001156136,1233.4384673409518
ray_object_transfer,numpy,10240,2,6.821874994784594,0.11012499453499913,11.592625000048429,862.6173968327471
ray_object_transfer,arrow,1,0,12.131958006648347,7.8207920014392585,2.1741249947808683,0.4491749565201188
ray_object_transfer,arrow,1,1,0.29654099489562213,0.12820801930502057,1.4207919884938747,0.6873367163586102
ray_object_transfer,arrow,1,2,0.21170801483094692,0.12187499669380486,1.354458014247939,0.7209987240115634
ray_object_transfer,arrow,10,0,0.3272909962106496,0.08195798727683723,1.556792005430907,6.272915691969369
ray_object_transfer,arrow,10,1,0.27024999144487083,0.07233300129882991,1.7829590069595724,5.477201080833055
ray_object_transfer,arrow,10,2,0.2210829989053309,0.08441600948572159,1.511583017418161,6.460528391407866
ray_object_transfer,arrow,100,0,0.2918749814853072,0.09558300371281803,2.1332080068532377,45.779056560009735
ray_object_transfer,arrow,100,1,0.3067500074394047,0.07133299368433654,1.706250011920929,57.23443183455672
ray_object_transfer,arrow,100,2,0.2995420072693378,0.06141600897535682,2.303458983078599,42.39548032649633
ray_object_transfer,arrow,1024,0,0.445916986791417,0.10745899635367095,2.0316659938544035,492.20688982583994
ray_object_transfer,arrow,1024,1,0.5676669825334102,0.2630829985719174,2.373958006501198,421.2374428113101
ray_object_transfer,arrow,1024,2,0.5094170046504587,0.120542012155056,2.459207986248657,406.6349839427072
ray_object_transfer,arrow,10240,0,4.266542004188523,0.08358401828445494,6.372416974045336,1569.2632859289813
ray_object_transfer,arrow,10240,1,4.836542007979006,0.3105409850832075,8.402125007705763,1190.175103420717
ray_object_transfer,arrow,10240,2,4.132875008508563,0.10566701530478895,10.77933399938047,927.701099212135
