repeat,total_requests,producer_rate_rps,replicas,queue_limit,prompt_tokens,completion_tokens,long_request_ratio,long_token_multiplier,tokens_per_second_per_replica,total_tokens,makespan_ms,requests_per_second,tokens_per_second,avg_queue_wait_ms,max_in_flight,max_token_backlog,backpressure_events
0,512,2000.0,2,0,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,4768.500000000003,499,231552,0
1,512,2000.0,2,0,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,4768.500000000003,499,231552,0
2,512,2000.0,2,0,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,4768.500000000003,499,231552,0
0,512,2000.0,2,8,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,114.41210937500071,8,5568,504
1,512,2000.0,2,8,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,114.41210937500071,8,5568,504
2,512,2000.0,2,8,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,114.41210937500071,8,5568,504
0,512,2000.0,2,32,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,557.5312499999981,32,16896,480
1,512,2000.0,2,32,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,557.5312499999981,32,16896,480
2,512,2000.0,2,32,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,557.5312499999981,32,16896,480
0,512,2000.0,4,0,128,64,0.2,8,12000.0,236736,4993.500000000004,102.53329328126557,47408.83148092517,2299.6445312500005,487,227904,0
1,512,2000.0,4,0,128,64,0.2,8,12000.0,236736,4993.500000000004,102.53329328126557,47408.83148092517,2299.6445312500005,487,227904,0
2,512,2000.0,4,0,128,64,0.2,8,12000.0,236736,4993.500000000004,102.53329328126557,47408.83148092517,2299.6445312500005,487,227904,0
0,512,2000.0,4,8,128,64,0.2,8,12000.0,236736,4993.500000000004,102.53329328126557,47408.83148092517,37.984374999999936,8,6912,504
1,512,2000.0,4,8,128,64,0.2,8,12000.0,236736,4993.500000000004,102.53329328126557,47408.83148092517,37.984374999999936,8,6912,504
2,512,2000.0,4,8,128,64,0.2,8,12000.0,236736,4993.500000000004,102.53329328126557,47408.83148092517,37.984374999999936,8,6912,504
0,512,2000.0,4,32,128,64,0.2,8,12000.0,236736,4993.500000000004,102.53329328126557,47408.83148092517,259.3242187500013,32,18240,480
1,512,2000.0,4,32,128,64,0.2,8,12000.0,236736,4993.500000000004,102.53329328126557,47408.83148092517,259.3242187500013,32,18240,480
2,512,2000.0,4,32,128,64,0.2,8,12000.0,236736,4993.500000000004,102.53329328126557,47408.83148092517,259.3242187500013,32,18240,480
0,512,8000.0,2,0,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,4864.125000000004,509,236160,0
1,512,8000.0,2,0,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,4864.125000000004,509,236160,0
2,512,8000.0,2,0,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,4864.125000000004,509,236160,0
0,512,8000.0,2,8,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,114.43115234375072,8,5568,504
1,512,8000.0,2,8,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,114.43115234375072,8,5568,504
2,512,8000.0,2,8,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,114.43115234375072,8,5568,504
0,512,8000.0,2,32,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,557.8828124999981,32,16896,480
1,512,8000.0,2,32,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,557.8828124999981,32,16896,480
2,512,8000.0,2,32,128,64,0.2,8,12000.0,236736,9920.000000000007,51.61290322580641,23864.51612903224,557.8828124999981,32,16896,480
0,512,8000.0,4,0,128,64,0.2,8,12000.0,236736,4992.375000000004,102.55639850772421,47419.51476000898,2395.137695312501,505,235392,0
1,512,8000.0,4,0,128,64,0.2,8,12000.0,236736,4992.375000000004,102.55639850772421,47419.51476000898,2395.137695312501,505,235392,0
2,512,8000.0,4,0,128,64,0.2,8,12000.0,236736,4992.375000000004,102.55639850772421,47419.51476000898,2395.137695312501,505,235392,0
0,512,8000.0,4,8,128,64,0.2,8,12000.0,236736,4992.375000000004,102.55639850772421,47419.51476000898,37.996093750000036,8,6912,504
1,512,8000.0,4,8,128,64,0.2,8,12000.0,236736,4992.375000000004,102.55639850772421,47419.51476000898,37.996093750000036,8,6912,504
2,512,8000.0,4,8,128,64,0.2,8,12000.0,236736,4992.375000000004,102.55639850772421,47419.51476000898,37.996093750000036,8,6912,504
0,512,8000.0,4,32,128,64,0.2,8,12000.0,236736,4992.375000000004,102.55639850772421,47419.51476000898,259.66699218750074,32,18240,480
1,512,8000.0,4,32,128,64,0.2,8,12000.0,236736,4992.375000000004,102.55639850772421,47419.51476000898,259.66699218750074,32,18240,480
2,512,8000.0,4,32,128,64,0.2,8,12000.0,236736,4992.375000000004,102.55639850772421,47419.51476000898,259.66699218750074,32,18240,480
