benchmark,strategy,upstream,downstream,total_rows,embedding_dim,text_tokens,repeat,input_objects,output_objects,avg_input_object_kb,avg_embedding_object_kb,build_ms,put_ms,fake_embed_ms,fanin_ms,write_ms,end_to_end_ms,rows_per_s,reduced_rows,bytes_written
fake_ai_embed_pipeline,fine,8,8,65536,128,32,0,64,64,346.9046936035156,537.0,252.2401250025723,35.23800001130439,296.91104200901464,138.77762501942925,30.4930419952143,753.6598340375349,86957.00240373441,65536,35202960
fake_ai_embed_pipeline,fine,8,8,65536,128,32,1,64,64,346.9046936035156,537.0,74.71029198495671,39.343457989161834,94.6780419908464,54.009583982406184,24.672041996382177,287.4134179437533,228019.97369804553,65536,35202960
fake_ai_embed_pipeline,fine,8,8,65536,128,32,2,64,64,346.9046936035156,537.0,76.81862500612624,33.33595799631439,80.72358299978077,56.73841599491425,30.92041698982939,278.53699898696505,235286.5157532158,65536,35202960
fake_ai_embed_pipeline,coalesced,8,8,65536,128,32,0,8,8,2775.237548828125,4296.0,105.5622500134632,34.364958002697676,44.869709003251046,14.015374996233732,20.363375020679086,219.17566703632474,299011.29484934337,65536,35202960
fake_ai_embed_pipeline,coalesced,8,8,65536,128,32,1,8,8,2775.237548828125,4296.0,84.78916701278649,5.806000001030043,38.467500009573996,20.524834020761773,29.731541988439858,179.31904303259216,365471.50203165255,65536,35202960
fake_ai_embed_pipeline,coalesced,8,8,65536,128,32,2,8,8,2775.237548828125,4296.0,102.14362500119023,4.744415986351669,68.14650000887923,12.774917006026953,31.23716701520607,219.04662501765415,299187.4446580407,65536,35202960
fake_ai_embed_pipeline,fine,8,32,65536,128,32,0,256,256,86.7261734008789,134.25,93.08533399598673,100.09200000786223,252.40324999322183,50.02970798523165,27.978084021015093,523.5883760033175,125167.0262435023,65536,35233344
fake_ai_embed_pipeline,fine,8,32,65536,128,32,1,256,256,86.7261734008789,134.25,98.607791995164,119.57854198408313,326.7038330086507,54.05137501657009,69.9103329970967,668.8518750015646,97982.83065267133,65536,35233344
fake_ai_embed_pipeline,fine,8,32,65536,128,32,2,256,256,86.7261734008789,134.25,177.1044589986559,105.85379099939018,346.6367920045741,65.8472079958301,43.796250014565885,739.2385000130162,88653.3912923178,65536,35233344
fake_ai_embed_pipeline,coalesced,8,32,65536,128,32,0,32,32,693.8093872070312,1074.0,121.34004200925119,20.312083011958748,93.23533298447728,45.58500001439825,43.674749991623685,324.14720801170915,202179.74543724174,65536,35233344
fake_ai_embed_pipeline,coalesced,8,32,65536,128,32,1,32,32,693.8093872070312,1074.0,107.95004200190306,18.425291986204684,58.010959008242935,48.75712498323992,40.61970900511369,273.7631269847043,239389.43393082163,65536,35233344
fake_ai_embed_pipeline,coalesced,8,32,65536,128,32,2,32,32,693.8093872070312,1074.0,115.66787501215003,18.594166002003476,73.67275000433438,37.32129200943746,44.23933301586658,289.4954160437919,226380.0957390164,65536,35233344
fake_ai_embed_pipeline,fine,32,8,65536,128,32,0,256,256,86.7261734008789,134.25,94.04925000853837,112.56750000757165,233.60516599495895,24.109457997838035,30.568832997232676,494.9002070061397,132422.65626934153,65536,35202960
fake_ai_embed_pipeline,fine,32,8,65536,128,32,1,256,256,86.7261734008789,134.25,106.60545798600651,100.3502500243485,287.8926249977667,21.068124973680824,30.625500017777085,546.5419579995796,119910.28143542899,65536,35202960
fake_ai_embed_pipeline,fine,32,8,65536,128,32,2,256,256,86.7261734008789,134.25,108.1383750133682,106.16704099811614,270.1707080123015,27.095249999547377,16.366791998734698,527.9381660220679,124135.74963485512,65536,35202960
fake_ai_embed_pipeline,coalesced,32,8,65536,128,32,0,8,8,2775.237548828125,4296.0,104.82175002107397,5.597166978986934,47.24183300277218,11.925875005545095,30.537332990206778,200.12395799858496,327477.03301202646,65536,35202960
fake_ai_embed_pipeline,coalesced,32,8,65536,128,32,1,8,8,2775.237548828125,4296.0,101.4853339875117,4.859000007854775,36.740749987075105,12.01987499371171,28.356875001918525,183.4618339780718,357218.7118102894,65536,35202960
fake_ai_embed_pipeline,coalesced,32,8,65536,128,32,2,8,8,2775.237548828125,4296.0,106.80683300597593,5.288749991450459,34.28675001487136,10.045665985671803,16.405625006882474,172.83362400485203,379185.476074726,65536,35202960
fake_ai_embed_pipeline,fine,32,32,65536,128,32,0,1024,1024,21.681543350219727,33.5625,207.17662500101142,374.2365000071004,634.7692080016714,85.3214590169955,17.108832980738953,1318.6126250075176,49700.7223782848,65536,35233344
fake_ai_embed_pipeline,fine,32,32,65536,128,32,1,1024,1024,21.681543350219727,33.5625,216.3754159992095,392.0352909772191,591.993750014808,66.36716600041837,20.495458011282608,1287.2670810029376,50910.95777027055,65536,35233344
fake_ai_embed_pipeline,fine,32,32,65536,128,32,2,1024,1024,21.681543350219727,33.5625,199.66941597522236,387.76375001179986,677.6792920136359,65.6139170168899,18.89345800736919,1349.6198330249172,48558.85961094205,65536,35233344
fake_ai_embed_pipeline,coalesced,32,32,65536,128,32,0,32,32,693.8093872070312,1074.0,224.48083400377072,22.152334015117958,82.55858300253749,34.75337498821318,15.877915982855484,379.82304199249484,172543.5077772216,65536,35233344
fake_ai_embed_pipeline,coalesced,32,32,65536,128,32,1,32,32,693.8093872070312,1074.0,228.0517909966875,36.39854199718684,68.37625001207925,36.70270802103914,23.138374992413446,392.66766601940617,166899.4054548946,65536,35233344
fake_ai_embed_pipeline,coalesced,32,32,65536,128,32,2,32,32,693.8093872070312,1074.0,237.88375000003725,16.47237502038479,133.5599580197595,61.39945800532587,18.222207989310846,467.53774903481826,140172.6387554632,65536,35233344
